N-NUMBER,AIRLINE,MANUFACTURER,MODEL,SEATS
102DA,DELTA AIR LINES INC,BOEING,767-232,255
104UA,UNITED AIR LINES INC,BOEING,747-422,495
107UA,UNITED AIR LINES INC,BOEING,747-422,495
11244,CONTINENTAL AIRLINES INC,BOEING,737-2CO,124
116UA,UNITED AIR LINES INC,BOEING,747-422,495
117UA,UNITED AIR LINES INC,BOEING,747-422,495
118UA,UNITED AIR LINES INC,BOEING,747-422,495
119UA,UNITED AIR LINES INC,BOEING,747-422,495
11984,CONTINENTAL AIRLINES INC,AIRBUS INDUSTRIE,A300B4,345
11985,CONTINENTAL AIRLINES INC,AIRBUS INDUSTRIE,A300B4,345
120UA,UNITED AIR LINES INC,BOEING,747-422,495
1200K,DELTA AIR LINES INC,BOEING,767-332,330
1201P,DELTA AIR LINES INC,BOEING,767-332,330
121DE,DELTA AIR LINES INC,BOEING,767-332,330
121UA,UNITED AIR LINES INC,BOEING,747-422,495
122UA,UNITED AIR LINES INC,BOEING,747-422,495
12318,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
12322,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
127DL,DELTA AIR LINES INC,BOEING,767-332,330
127UA,UNITED AIR LINES INC,BOEING,747-422,495
128DL,DELTA AIR LINES INC,BOEING,767-332,330
128UA,UNITED AIR LINES INC,BOEING,747-422,495
129DL,DELTA AIR LINES INC,BOEING,767-332,330
1309T,DELTA AIR LINES INC,DOUGLAS,DC-9-31,85
131DN,DELTA AIR LINES INC,BOEING,767-332,330
131EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
13138,CONTINENTAL AIRLINES INC,BOEING,757-224,178
132DN,DELTA AIR LINES INC,BOEING,767-332,330
132EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
13227,CONTINENTAL AIRLINES INC,BOEING,737-824,149
133DN,DELTA AIR LINES INC,BOEING,767-332,330
133EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
1334U,DELTA AIR LINES INC,DOUGLAS,DC-9-31,85
134DL,DELTA AIR LINES INC,BOEING,767-332,330
135DL,DELTA AIR LINES INC,BOEING,767-332,330
135EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
136DL,DELTA AIR LINES INC,BOEING,767-332,330
136EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
137DL,DELTA AIR LINES INC,BOEING,767-332,330
137EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
13718,CONTINENTAL AIRLINES INC,BOEING,737-724,149
13720,CONTINENTAL AIRLINES INC,BOEING,737-724,149
138DL,DELTA AIR LINES INC,BOEING,767-332,330
138EV,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
13881,CONTINENTAL AIRLINES PURCHASING SERVICES LP,MCDONNELL DOUGLAS,DC-9-81(MD-81),116
139DL,DELTA AIR LINES INC,BOEING,767-332,330
13975,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
13978,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
13979,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
13988,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
13989,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
13990,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
13992,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
14074,CONTINENTAL AIRLINES PURCHASING SERVICES LP,MCDONNELL-DOUGLAS,DC-10-30,345
14077,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A300B4-605R,380
14228,CONTINENTAL AIRLINES INC,BOEING,737-824,149
14235,CONTINENTAL AIRLINES INC,BOEING,737-824,149
14240,CONTINENTAL AIRLINES INC,BOEING,737-824,149
14249,CONTINENTAL AIRLINES INC,BOEING,737-824,149
14250,CONTINENTAL AIRLINES INC,BOEING,737-824,149
143DA,DELTA AIR LINES INC,BOEING,767-332,330
14308,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
14320,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
14325,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
14334,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
14335,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
14336,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
14346,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
14347,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
14358,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
144DA,DELTA AIR LINES INC,BOEING,767-332,330
14735,CONTINENTAL AIRLINES INC,BOEING,737-724,149
14880,CONTINENTAL AIRLINES PURCHASING SERVICES LP,MCDONNELL DOUGLAS,DC-9-81(MD-81),116
14931,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145,55
14977,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
14991,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
14993,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
1501P,DELTA AIR LINES INC,BOEING,767-3P6,290
152DL,DELTA AIR LINES INC,BOEING,767-3P6,290
153DL,DELTA AIR LINES INC,BOEING,767-3P6,290
154DL,DELTA AIR LINES INC,BOEING,767-3P6,290
155DL,DELTA AIR LINES INC,BOEING,767-3P6,290
156DL,DELTA AIR LINES INC,BOEING,767-3P6,290
15781,CONTINENTAL AIRLINES PURCHASING SERVICES LP,BOEING,727-232,154
15820,CONTINENTAL AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
15980,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
15983,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
15986,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
1602,DELTA AIR LINES INC,BOEING,767-332,330
1603,DELTA AIR LINES INC,BOEING,767-332,330
1604R,DELTA AIR LINES INC,BOEING,767-332,330
16065,DELTA AIR LINES INC,BOEING,767-332,330
1607B,DELTA AIR LINES INC,BOEING,767-332,330
1608,DELTA AIR LINES INC,BOEING,767-332,330
1609,DELTA AIR LINES INC,BOEING,767-332,330
1610D,DELTA AIR LINES INC,BOEING,767-332,330
1611B,DELTA AIR LINES INC,BOEING,767-332,330
1612T,DELTA AIR LINES INC,BOEING,767-332,330
1613B,DELTA AIR LINES INC,BOEING,767-332,330
16301,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
16732,CONTINENTAL AIRLINES INC,BOEING,737-724,149
169DZ,DELTA AIR LINES INC,BOEING,767-332,330
16976,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
16981,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
16987,CONTINENTAL AIRLINES INC,EMBRAER,EMB-145LR,55
171DN,DELTA AIR LINES INC,BOEING,767-332,330
171DZ,DELTA AIR LINES INC,BOEING,767-332,330
171UA,UNITED AIR LINES INC,BOEING,747-422,495
17126,CONTINENTAL AIRLINES INC,BOEING,757-224,178
17128,CONTINENTAL AIRLINES INC,BOEING,757-224,178
